Category;Award;Brewery;Country;Beer;Website;Style Origin
GERMAN-STYLE LEICHTBIER;GOLD;GIUSTOSPIRITO;Italy;2PUNTO5;www.giustospirito.com;Central European
GERMAN-STYLE LEICHTBIER;SILVER;Hochdorfer Kronenbrauerei;Germany;Hochdorfer Hopfenleicht;www.hochdorfer.de;Central European
GERMAN-STYLE LEICHTBIER;BRONZE;Private Landbrauerei Schönram;Germany;Schönramer Surtaler Schankbier;www.schoenramer.de;Central European
GERMAN-STYLE PILSNER;GOLD;Private Landbrauerei Schönram;Germany;Schönramer Pils;www.schoenramer.de;Central European
GERMAN-STYLE PILSNER;SILVER;Distelhäuser Brauerei Ernst Bauer;Germany;Distelhäuser Pils;www.distelhaeuser.de;Central European
GERMAN-STYLE PILSNER;BRONZE;Schlossbrauerei Autenried;Germany;Autenrieder Pilsner;www.autenrieder.de;Central European
BOHEMIAN-STYLE PALE LAGER;GOLD;MOVA Brewing Company;Ukraine;MOVA Pilsner;www.mova.beer;Central European
BOHEMIAN-STYLE PALE LAGER;SILVER;Fifty Fifty Brewing Company;USA;Tahoe Pilz;www.fiftyfiftybrewing.com;Central European
BOHEMIAN-STYLE PALE LAGER;BRONZE;PRIMÁTOR;Czech Republic;PRIMÁTOR Premium;www.primator.cz;Central European
BOHEMIAN-STYLE SESSION LAGER;GOLD;Pivovar Tišnov;Czech Republic;Tišnovanka 11%;www.pivovartisnov.cz;Central European
BOHEMIAN-STYLE SESSION LAGER;SILVER;Plzensky Prazdroj;Czech Republic;Velkopopovický Kozel 11;www.prazdroj.cz;Central European
BOHEMIAN-STYLE SESSION LAGER;BRONZE;Pivovar Samson;Czech Republic;Samson 1795 - Svetle Vycepni Original Czech;www.samson.cz;Central European
GERMAN-STYLE MÄRZEN;GOLD;Bürgerliches Brauhaus Saalfeld;Germany;Ur Saalfelder;www.brauhaus-saalfeld.de;Central European
GERMAN-STYLE MÄRZEN;SILVER;Fürst Carl Schlossbrauerei;Germany;Fürst Carl Märzen;www.fuerst-carl.de;Central European
GERMAN-STYLE MÄRZEN;BRONZE;Biermanufaktur Engel;Germany;ENGEL Aloisius;www.engelbier.de;Central European
GERMAN-STYLE FESTBIER;GOLD;Gebr. Müller Müllerbräu;Germany;Müllerbräu Bio-Festbier;www.muellerbraeu.com;Central European
GERMAN-STYLE FESTBIER;SILVER;Brauerei Rittmayer Hallerndorf;Germany;Annafestbier;www.rittmayer.de;Central European
GERMAN-STYLE FESTBIER;BRONZE;AB Åbro Bryggeri;Sweden;Bryggmästarens Premium Gold;www.abro.se;Central European
